trajectory_ID	taxon	abundance	time	type
5	Bifidobacterium-longum	1521.639	55.4	simulation
5	Bifidobacterium-longum	1524.569	55.5	simulation
5	Bifidobacterium-longum	1527.4991	55.6	simulation
5	Bifidobacterium-longum	1530.4435	55.7	simulation
5	Bifidobacterium-longum	1533.3712	55.8	simulation
5	Bifidobacterium-longum	1536.2848	55.9	simulation
5	Bifidobacterium-longum	1539.2039	56	simulation
5	Bacteroides-vulgatus	508	30	simulation
5	Bacteroides-vulgatus	509.432	30.1	simulation
5	Bacteroides-vulgatus	510.8679	30.2	simulation
5	Bacteroides-vulgatus	512.3078	30.3	simulation
5	Bacteroides-vulgatus	513.7514	30.4	simulation
5	Bacteroides-vulgatus	515.199	30.5	simulation
5	Bacteroides-vulgatus	516.6506	30.6	simulation
5	Bacteroides-vulgatus	518.1061	30.7	simulation
5	Bacteroides-vulgatus	519.5655	30.8	simulation
5	Bacteroides-vulgatus	521.0289	30.9	simulation
5	Bacteroides-vulgatus	522.4965	31	simulation
5	Bacteroides-vulgatus	523.9683	31.1	simulation
5	Bacteroides-vulgatus	525.4441	31.2	simulation
5	Bacteroides-vulgatus	526.9241	31.3	simulation
5	Bacteroides-vulgatus	528.4081	31.4	simulation
5	Bacteroides-vulgatus	529.8962	31.5	simulation
5	Bacteroides-vulgatus	531.3886	31.6	simulation
5	Bacteroides-vulgatus	532.8851	31.7	simulation
5	Bacteroides-vulgatus	534.3859	31.8	simulation
5	Bacteroides-vulgatus	535.8909	31.9	simulation
5	Bacteroides-vulgatus	537.4001	32	simulation
5	Bacteroides-vulgatus	538.9136	32.1	simulation
5	Bacteroides-vulgatus	540.4313	32.2	simulation
5	Bacteroides-vulgatus	541.9533	32.3	simulation
5	Bacteroides-vulgatus	543.4795	32.4	simulation
5	Bacteroides-vulgatus	545.01	32.5	simulation
5	Bacteroides-vulgatus	546.5449	32.6	simulation
5	Bacteroides-vulgatus	548.0841	32.7	simulation
5	Bacteroides-vulgatus	549.6276	32.8	simulation
5	Bacteroides-vulgatus	551.1754	32.9	simulation
5	Bacteroides-vulgatus	552.7276	33	simulation
5	Bacteroides-vulgatus	554.2841	33.1	simulation
5	Bacteroides-vulgatus	555.845	33.2	simulation
5	Bacteroides-vulgatus	557.4103	33.3	simulation
5	Bacteroides-vulgatus	558.98	33.4	simulation
5	Bacteroides-vulgatus	560.5542	33.5	simulation
5	Bacteroides-vulgatus	562.1327	33.6	simulation
5	Bacteroides-vulgatus	563.7158	33.7	simulation
5	Bacteroides-vulgatus	565.3032	33.8	simulation
5	Bacteroides-vulgatus	566.8952	33.9	simulation
5	Bacteroides-vulgatus	568.4917	34	simulation
5	Bacteroides-vulgatus	570.0926	34.1	simulation
5	Bacteroides-vulgatus	571.698	34.2	simulation
5	Bacteroides-vulgatus	573.308	34.3	simulation
5	Bacteroides-vulgatus	574.9225	34.4	simulation
5	Bacteroides-vulgatus	576.5415	34.5	simulation
5	Bacteroides-vulgatus	578.1651	34.6	simulation
5	Bacteroides-vulgatus	579.7933	34.7	simulation
